5154,James Miller,34,Mexico,s3854,I Have a Script,"International TV Shows, TV Comedies, TV Dramas",1 Season,1.798408181080025
46,John Johnson,45,India,s7126,Jericho,"Classic & Cult TV, TV Action & Adventure, TV Dramas",2 Seasons,1.4029910125404403
53,John Smith,65,Canada,s3981,Crime Diaries: The Candidate,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",1 Season,1.1161180145034995
10950,Emma Davis,28,Germany,s5623,Bill Burr: Walk Your Way Out,Stand-Up Comedy,78 min,0.7586910600498686
7082,Katie Miller,18,India,s8446,The Other Guys,"Action & Adventure, Comedies",108 min,2.327492136046842
3394,Sarah Hernandez,46,Brazil,s7729,Perfect Stranger,Thrillers,109 min,1.6803066189308073
6624,Jane Garcia,36,UK,s6144,American History X,Dramas,119 min,1.4616793831420671
18441,Chris Miller,19,France,s3476,The Rugrats Movie,"Children & Family Movies, Comedies",81 min,4.800516733766143
12325,David Smith,18,Brazil,s132,Blade Runner: The Final Cut,"Action & Adventure, Classic Movies, Cult Movies",117 min,3.7418014853990615
7171,David Smith,40,USA,s2960,Itaewon Class,"International TV Shows, Korean TV Shows, TV Dramas",1 Season,2.982297499789861
3843,Sarah Brown,13,USA,s7601,NOVA: Black Hole Apocalypse,Documentaries,113 min,2.7682420133808305
11540,David Martinez,64,France,s1389,The White Tiger,Dramas,127 min,2.485041528455053
2424,Emma Williams,40,Japan,s1054,Time Is Illmatic,"Documentaries, Music & Musicals",75 min,1.724817909073419
20797,John Jones,54,Japan,s8138,Swami Baba Ramdev: The Untold Story,"International TV Shows, TV Dramas",1 Season,3.648526765446078
4198,David Jones,30,Mexico,s1976,Santa Banta Pvt Ltd,"Comedies, International Movies",111 min,3.3553842568301837
23101,Sarah Jones,22,India,s6736,Fallen,Thrillers,124 min,4.561416073505573
12934,Katie Davis,19,Australia,s6385,Bruno and Boots: This Can't Be Happening at Macdonald Hall,"Children & Family Movies, Comedies",90 min,3.1238821119705396
6813,Michael Davis,53,Japan,s5787,"Karol Modzelewski, Łukasz „Lotek” Lodkowski No Offense",Stand-Up Comedy,65 min,0.4325527982358507
7268,Michael Jones,60,Mexico,s7439,Melodies of Life - Born This Way,"International TV Shows, Romantic TV Shows, TV Comedies",1 Season,3.395228588699965
2528,Sarah Brown,73,Japan,s7072,Indiana Jones and the Last Crusade,"Action & Adventure, Children & Family Movies, Classic Movies",127 min,4.6493360604835745
1137,Michael Jones,38,Mexico,s8610,Towies,"International TV Shows, Reality TV",1 Season,3.1795209283875163
2396,Katie Smith,47,Japan,s4089,Shonar Pahar,"Dramas, Independent Movies, International Movies",131 min,0.9852409404020773
2490,James Hernandez,38,UK,s1851,Love Like the Falling Rain,"Dramas, International Movies, Romantic Movies",87 min,2.8335990480503033
8214,John Garcia,16,Australia,s5643,Coin Heist,"Children & Family Movies, Dramas",98 min,3.994443672696641
7960,Sarah Johnson,28,USA,s8173,Th Eena Meena Deeka Chase Comedy Show,"Kids' TV, TV Comedies",1 Season,3.0695324236771486
8204,Emma Johnson,62,UK,s1410,The Vanished,Thrillers,115 min,4.544654481825761
21779,David Jones,29,India,s2530,The Wiggles,Kids' TV,2 Seasons,1.5122349329790459
20080,Jane Martinez,41,Brazil,s5998,2015 Dream Concert,"International Movies, Music & Musicals",107 min,1.726885906581368
7152,Sarah Brown,38,Japan,s1782,Somebody Feed Phil,"Docuseries, Reality TV",4 Seasons,4.22322891417846
18272,James Brown,33,Japan,s5431,Marco Luque: Tamo Junto,Stand-Up Comedy,73 min,1.729466451493629
17982,Katie Johnson,18,Mexico,s1712,Graceful Friends,"Crime TV Shows, International TV Shows, TV Dramas",1 Season,2.894779754024933
2030,Chris Brown,43,Australia,s6134,American Anarchist,Documentaries,81 min,4.647012317026959
17927,Michael Smith,47,Australia,s7548,My Tattoo Addiction,"British TV Shows, Docuseries",1 Season,0.3457104763028984
23360,Emma Martinez,24,Australia,s4763,Home: Adventures with Tip & Oh,"Kids' TV, TV Comedies",4 Seasons,1.0659112400082487
5482,James Brown,48,USA,s4101,Buddies,"Comedies, Dramas, Independent Movies",103 min,3.5564796519811464
24453,David Williams,24,Germany,s2523,Inhuman Resources,"Crime TV Shows, International TV Shows, TV Dramas",1 Season,1.14427469609307
690,Sarah Johnson,71,UK,s2958,Hum Aapke Hain Koun,"Classic Movies, Dramas, International Movies",193 min,4.817435206626422
1719,Michael Martinez,24,Japan,s7415,Marvel & ESPN Films Present: 1 of 1: Genesis,"Documentaries, Sports Movies",77 min,1.983555753558099
1289,Sarah Smith,16,UK,s1286,Vincenzo,"International TV Shows, TV Comedies, TV Dramas",1 Season,2.3340237834145543
20632,James Williams,77,Germany,s1781,Rogue City,"Dramas, International Movies, Thrillers",116 min,0.2009641638071269
15690,Alex Jones,30,USA,s3985,The 10 Sins,"International TV Shows, TV Dramas",1 Season,0.7975433538448123
8289,Chris Miller,58,Mexico,s7016,How to Be a Player,Comedies,94 min,4.1615278710055925
22138,Chris Smith,68,France,s486,Lethal Love,Thrillers,89 min,4.186510769196796
4945,Chris Jones,36,Brazil,s1116,Ferrari Ki Sawaari,"Comedies, International Movies, Sports Movies",133 min,4.9584914020697735
10951,Jane Smith,28,Australia,s1489,DNA,"Dramas, International Movies",91 min,0.44127347140819395
23357,David Garcia,75,France,s3424,Black Money Love,"Crime TV Shows, International TV Shows, TV Dramas",1 Season,2.1790563935516656
17179,Alex Williams,52,UK,s206,Kyo Kii... Main Jhuth Nahin Bolta,"Comedies, International Movies, Sci-Fi & Fantasy",150 min,1.587694231303482
1931,Katie Brown,65,India,s8484,The Rezort,"Horror Movies, International Movies",90 min,3.0741573710785177
4648,Sarah Miller,49,Australia,s6802,French Dirty,"Dramas, Independent Movies",72 min,4.436081717565488
20043,Emma Williams,18,Germany,s611,Underworld,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",121 min,1.5319182433398526
668,David Brown,21,India,s8776,Yeh Meri Family,"International TV Shows, TV Comedies",1 Season,4.169065613436871
17920,James Miller,42,Brazil,s4253,A Twelve Year Night,"Dramas, International Movies",122 min,0.9634478698743604
11795,Alex Garcia,56,India,s293,Quartet,"Comedies, Dramas, Independent Movies",98 min,4.135120789338956
16324,Jane Hernandez,36,Canada,s1666,40 Sticks,"International Movies, Thrillers",93 min,2.7289388012510782
14726,Chris Martinez,31,Canada,s6808,From Japan to Egypt,"Children & Family Movies, Comedies, Dramas",93 min,1.2556067571374208
923,Jane Johnson,29,Mexico,s5126,Wormwood,"Crime TV Shows, Docuseries",1 Season,1.8121187118619764
10918,Alex Martinez,66,Brazil,s7042,I Am Sun Mu,"Documentaries, International Movies",88 min,2.2199990586299827
10678,Chris Smith,35,USA,s5367,World War II in Colour,"British TV Shows, Docuseries, International TV Shows",1 Season,2.0627095387737167
16863,Sarah Williams,40,Mexico,s5102,Fun Mom Dinner,"Comedies, International Movies",82 min,3.447981212502519
17914,Sarah Williams,37,Australia,s2490,Sayed the Servant,"Comedies, International Movies",173 min,0.23945543988925677
10172,Sarah Jones,20,Germany,s1184,Reframe THEATER EXPERIENCE with you,"International Movies, Music & Musicals",84 min,4.573318549005162
2001,Sarah Davis,47,Australia,s4678,Ultimate Beastmaster México,"Reality TV, Spanish-Language TV Shows",3 Seasons,2.373917272436761
17443,Emma Garcia,52,Canada,s1256,Seven Souls in the Skull Castle 2011,"Action & Adventure, Dramas, International Movies",177 min,0.2671503902580291
23885,Emma Brown,37,USA,s5045,When We First Met,"Comedies, Romantic Movies",97 min,1.629839220865053
21596,Michael Martinez,27,India,s3195,Iron Fists and Kung-Fu Kicks,"Documentaries, International Movies",108 min,2.1637090111229234
24343,Chris Miller,75,Brazil,s176,The Blue Lagoon,"Dramas, Romantic Movies",105 min,2.4094266205411055
1868,Sarah Jones,33,India,s2633,No Direction Home: Bob Dylan,"Documentaries, Music & Musicals",208 min,4.3455058783522995
23689,Sarah Garcia,74,Brazil,s4066,The Spiderwick Chronicles,Children & Family Movies,97 min,1.5481778455723028
6123,David Martinez,28,India,s7569,Nature: Animals With Cameras,"Docuseries, Science & Nature TV",1 Season,1.63697349030421
20732,John Williams,34,Brazil,s4418,The Holiday Calendar,"Dramas, Romantic Movies",95 min,1.3550266424467035
19518,Chris Hernandez,60,Mexico,s6336,Blood & Treasures,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",1 Season,3.4003151331441934
22175,Sarah Smith,18,USA,s7308,Limmy's Show!,"British TV Shows, TV Comedies",2 Seasons,0.2694074307745892
19744,Katie Davis,32,Canada,s522,Kim's Convenience,"International TV Shows, TV Comedies",5 Seasons,4.579355400574996
20810,Alex Miller,77,Japan,s6630,Don't Crack Under Pressure III,"Action & Adventure, Documentaries, International Movies",94 min,3.8857331782913285
1187,Chris Miller,22,India,s4351,1983,"Crime TV Shows, International TV Shows, TV Dramas",1 Season,4.274810261256386
3226,Alex Jones,61,Japan,s7456,Mighty Morphin Alien Rangers,Kids' TV,1 Season,3.7303958681081735
11364,Jane Hernandez,22,Brazil,s1098,Coded Bias,Documentaries,86 min,4.419627295543837
18867,Jane Hernandez,24,USA,s1408,Pinkfong & Baby Shark's Space Adventure,Children & Family Movies,65 min,1.642916099668315
6432,Michael Smith,67,Brazil,s7055,Idiotest,"Reality TV, TV Comedies",1 Season,1.7511327707468394
14387,Emma Davis,19,India,s4400,Warrior,"Crime TV Shows, International TV Shows, TV Dramas",1 Season,0.2870054277508538
4267,Emma Davis,56,USA,s1334,War Dogs,"Comedies, Dramas",114 min,3.0728878923670284
2900,Jane Jones,77,Germany,s91,Paradise Hills,"Sci-Fi & Fantasy, Thrillers",95 min,1.9326270816343105
23679,David Johnson,21,Japan,s1873,The Forty-Year-Old Version,"Comedies, Dramas, Independent Movies",124 min,2.996398266437103
14298,Sarah Jones,59,UK,s508,Three Thieves,"Comedies, International Movies",108 min,0.8746321103432769
4506,Jane Brown,78,Mexico,s3939,Our Planet,"Docuseries, Science & Nature TV",1 Season,4.9571257278586565
7717,Sarah Miller,76,USA,s1119,Insidious,"Horror Movies, Thrillers",103 min,1.9825650285502427
12485,Chris Jones,24,Canada,s7138,John Day,"International Movies, Thrillers",125 min,2.6415949676122032
19037,Sarah Johnson,45,India,s7423,Matichya Chuli,"Comedies, Dramas, International Movies",132 min,0.6173384834353224
8085,Sarah Brown,45,Mexico,s6933,Harry & Bunnie,"Kids' TV, TV Comedies",1 Season,0.8160940157373164
8514,Emma Martinez,19,USA,s8018,Silencer,"Action & Adventure, Independent Movies",88 min,3.025149133943853
2291,Katie Brown,58,France,s5892,Beasts of No Nation,"October 16, 2015",United States,2.618351931311578
22255,David Johnson,32,France,s1138,The Knight and the Princess,"Action & Adventure, International Movies, Music & Musicals",96 min,2.051967264834719
21894,Emma Hernandez,65,Germany,s8385,The Last Exorcism,"Horror Movies, Independent Movies, Thrillers",88 min,3.235289736693096
5675,David Garcia,37,France,s5675,Merlin,"British TV Shows, International TV Shows, TV Action & Adventure",5 Seasons,4.855399428171101
21021,Chris Miller,52,India,s5317,Buster's Mal Heart,"Independent Movies, Thrillers",98 min,4.13203233964128
18314,Katie Garcia,63,Japan,s4248,Tim Minchin: So F**king Rock,"Music & Musicals, Stand-Up Comedy",127 min,0.20974926356665757
14465,Michael Martinez,60,Australia,s2013,The Barrier,"International TV Shows, Spanish-Language TV Shows, TV Dramas",1 Season,2.874150954092072
16736,Emma Brown,17,USA,s1821,Heritages,"Documentaries, International Movies",96 min,3.8440642205733164
5879,Sarah Hernandez,49,Australia,s8413,The Man Who Would Be Polka King,"Documentaries, Music & Musicals",68 min,4.918121089965001
12444,Sarah Davis,13,Mexico,s8108,Strong Girl Bong-soon,"Crime TV Shows, International TV Shows, Korean TV Shows",1 Season,4.144515817682494
18874,Alex Martinez,48,Mexico,s8383,The Land of the Enlightened,"Documentaries, International Movies",84 min,2.206100500541232
11016,Jane Jones,39,Australia,s1762,Little Monsters,"Children & Family Movies, Comedies",102 min,4.092086950423811
4824,Alex Smith,67,India,s6368,Boy Bye,"Comedies, Romantic Movies",86 min,3.7358865953894034
6185,Emma Brown,19,Brazil,s6503,Clouds of Sils Maria,"Dramas, International Movies",124 min,0.9150366487489897
2021,John Martinez,47,France,s6723,Exit Wounds,Action & Adventure,101 min,4.261849790758483
7441,Emma Miller,74,USA,s5548,Killa,"Dramas, International Movies",107 min,1.6628156158801506
14787,Jane Jones,76,Australia,s1287,Classmates Minus,"Comedies, Dramas, Independent Movies",123 min,1.922691542362465
